MATH_ID,MATH_Name,Units,Prerequisites
MATH 134,Linear and Nonlinear Systems of Differential Equations,[4.0],['MATH 33B']
MATH 135,Ordinary Differential Equations,[4.0],"['MATH 33A', 'MATH 33B']"
MATH 136,Partial Differential Equations,[4.0],"['MATH 33A', 'MATH 33B']"
MATH 142,Mathematical Modeling,[4.0],"['MATH 32B', 'MATH 33B']"
MATH 146,Methods of Applied Mathematics,[4.0],"['MATH 32B', 'MATH 33B']"
MATH M148,Experience of Data Science,[4.0],"['MATH 118', 'MATH 131A', ['MATH 156', 'STATS 101C'], ['MATH 170S', 'STATS 100B'], 'STATS 101A']"
MATH 151A,Applied Numerical Methods,[4.0],"['MATH 32B', 'MATH 33B', 'MATH 115A', ['COM SCI 31', 'PIC 10A']]"
MATH 151AH,Numerical Analysis Part 1 (Honors),[4.0],"['MATH 32B', 'MATH 33B', 'MATH 115A', 'MATH 131A', ['COM SCI 31', 'PIC 10A']]"
MATH 151B,Applied Numerical Methods,[4.0],['MATH 151A']
MATH 151BH,Numerical Analysis Part 2 (Honors),[4.0],"['MATH 115A', 'MATH 131A', 'MATH 151A', ['COM SCI 31', 'PIC 10A']]"
MATH 155,Mathematical Imaging,[4.0],"['MATH 32B', 'MATH 33B', 'MATH 115A', ['COM SCI 31', 'PIC 10A']]"
MATH 156,Machine Learning,[4.0],"['MATH 115A', 'MATH 164', ['MATH 170A', 'MATH 170E', 'STATS 100A'], ['COM SCI 31', 'PIC 10A']]"
MATH 164,Optimization,[4.0],"['MATH 115A', 'MATH 131A']"
MATH 167,Mathematical Game Theory,[4.0],['MATH 115A']
MATH 168,Introduction to Networks,[4.0],"['MATH 115A', ['MATH 170A', 'MATH 170E', 'STATS 100A', 'ECE 131']]"
MATH 170A,Probability Theory I,[4.0],"['MATH 32B', 'MATH 33A', 'MATH 131A']"
MATH 170B,Probability Theory II,[4.0],"['MATH 131A', 'MATH 170a']"
MATH 170E,Introduction to Probability and STATS 1: Probability,[4.0],"['MATH 31A', 'MATH 31B']"
MATH 170E,Introduction to Probability and STATS 1: Probability (Effective Spring 2024 ),[4.0],"['MATH 31A', 'MATH 31B']"
MATH 170S,Introduction to Probability and STATS 2: STATS,[4.0],"['MATH 31A', 'MATH 31B', ['MATH 170A', 'MATH 170E', 'STATS 100A']]"
MATH 171,Stochastic Processes,[4.0],"['MATH 33A', ['MATH 170A', 'MATH 170E', 'STATS 100A']]"
MATH 174E,Mathematics of Finance for Mathematics/Economics Students,[4.0],"['MATH 33A', ['MATH 170A', 'MATH 170E', 'STATS 100A']]"
MATH 177,Theory of Interest and Applications,[4.0],['MATH 32B']
MATH 178A,Foundations of Actuarial Mathematics: Life Insurance and Annuities,[4.0],"['MATH 32B', ['MATH 170A', 'MATH 170E', 'STATS 100A'], ['MATH 175', 'MATH 177']]"
MATH 178B,Foundations of Actuarial Mathematics: Additional Topics in Long-Term Actuarial Mathematics,[4.0],"[['MATH 170S', 'MATH 170B', 'STATS 100B'], 'MATH 178A']"
MATH 178C,Foundations of Actuarial Mathematics: Loss Models,[4.0],['MATH 178B']
MATH 179,Advanced Topic in Financial Mathematics,[4.0],['MATH 174E']
MATH 180,Graph Theory,[4.0],"['MATH 31A', 'MATH 31B', 'MATH 61']"
MATH 182,Algorithms,[4.0],"[['MATH 3C', 'MATH 32A'], 'MATH 61']"
MATH 184,Enumerative Combinatorics,[4.0],"['MATH 31A', 'MATH 31B', 'MATH 61', 'MATH 115A']"
MATH 188SA,Individual Studies for USIE Facilitators,[1.0],['Honors Collegium 101E']
MATH 188SB,Individual Studies for USIE Facilitators,[1.0],['MATH 188SA']
MATH 188SC,Individual Studies for USIE Facilitators,[2.0],['MATH 188SB']
MATH 189,Advanced Honors Seminars,[1.0],['MATH 188SB']
MATH 189HC,Honors Contracts,[1.0],['MATH 188SB']
MATH 190A,Seminar: Current Literature in History and Development of Mathematics,[1.0],['MATH 188SB']
MATH 190B,Seminar: Current Literature in Number Theory,[1.0],['MATH 188SB']
MATH 190C,Seminar: Current Literature in Algebra,[1.0],['MATH 188SB']
MATH 190D,Seminar: Current Literature in Logic,[1.0],['MATH 188SB']
MATH 190E,Seminar: Current Literature in Geometry,[1.0],['MATH 188SB']
MATH 190F,Seminar: Current Literature in Topology,[1.0],['MATH 188SB']
MATH 190G,Seminar: Current Literature in Analysis,[1.0],['MATH 188SB']
MATH 190H,Seminar: Current Literature in Differential Equations,[1.0],['MATH 188SB']
MATH 190I,Seminar: Current Literature in Functional Analysis,[1.0],['MATH 188SB']
MATH 190J,Seminar: Current Literature in Applied Mathematics,[1.0],['MATH 188SB']
MATH 190K,Seminar: Current Literature in Probability,[1.0],['MATH 188SB']
MATH 190L,Seminar: Current Literature in Dynamical Systems,[1.0],['MATH 188SB']
MATH 190M,Seminar: Current Literature in Mathematics,[1.0],['MATH 188SB']
MATH 190N,Seminar: Current Literature in Combinatorics,[1.0],['MATH 188SB']
MATH 190O,Seminar: Current Literature in Cryptography,[1.0],['MATH 188SB']
MATH 191,Variable Topics Research Seminars: Mathematics,[4.0],['MATH 188SB']
MATH 191H,Honors Research Seminars: Mathematics,[4.0],['MATH 188SB']
MATH M192A,Introduction to Collaborative Learning Theory and Practice,[1.0],['MATH 188SB']
MATH 192B,Collaborative Learning Theory and Practice,"[2.0, 4.0]",['MATH M192A', '(may be taken concurrently)']
MATH 195,Community Internships in Mathematics Education,[4.0],['MATH M192A', '(may be taken concurrently)']
MATH 197,Individual Studies in Mathematics,"[2.0, 4.0]",['MATH M192A', '(may be taken concurrently)']
MATH 199,Directed Research or Senior Project in Mathematics,"[2.0, 4.0]",['MATH M192A', '(may be taken concurrently)']
