COM SCI 1
COM SCI 32
COM SCI 33
COM SCI 35L
MATH 31A
MATH 31B
MATH 32A
MATH 32B
MATH 33A
MATH 33B
MATH 61
PHYSICS 1A
PHYSICS 1B
PHYSICS 1C
"['COM SCI M51A', 'EC ENGR M16']"
"['PHYSICS 4AL', 'PHYSICS 4BL']"
COM SCI 111
COM SCI 118
COM SCI 131
COM SCI 180
COM SCI 181
"['COM SCI M151B', 'EC ENGR M116C']"
"['COM SCI M152A', 'EC ENGR M116L']"
"['MATH 170E', 'STATS 100A', 'MATH 170A', 'C&EE 110', 'EC ENGR 131A']"
"['COM SCI 130', 'COM SCI 152B']"
Elective: COM SCI 111-COM SCI CM187
Elective: COM SCI 111-COM SCI CM187
Elective: COM SCI 111-COM SCI CM187
Elective: COM SCI 111-COM SCI CM187
Elective: COM SCI 111-COM SCI CM187
Sci-Tech, (12 units)
Tech Breadth, (12 units)
GE
GE
GE
GE
GE
